"sex","sex_4_TEXT","relStat","dateAffectionate1","dateAffectionate2","dateAmbition1","dateAmbition2","dateArtistic1","dateArtistic2","dateDisposition1","dateDisposition2","dateFamily1","dateFamily2","dateHealth1","dateHealth2","dateHumor1","dateHumor2","dateIntelligent1","dateIntelligent2","dateKind1","dateKind2","dateParenting1","dateParenting2","datePhysatt1","datePhysatt2","dateReligious1","dateReligious2","dateResources1","dateResources2","dateSexy1","dateSexy2","dateStatus1","dateStatus2","selfAffectionate1","selfAffectionate2","selfAmbition1","selfAmbition2","selfArtistic1","selfArtistic2","selfDisposition1","selfDisposition2","selfFamily1","selfFamily2","selfHealth1","selfHealth2","selfHumor1","selfHumor2","selfIntelligent1","selfIntelligent2","selfKind1","selfKind2","selfParenting1","selfParenting2","selfPhysatt1","selfPhysatt2","selfReligious1","selfReligious2","selfResources1","selfResources2","selfSexy1","selfSexy2","selfStatus1","selfStatus2","idealAffection1","idealAffection2","idealAmbition1","idealAmbition2","idealArtistic1","idealArtistic2","idealDisposition1","idealDisposition2","idealFamily1","idealFamily2","idealHealth1","idealHealth2","idealHumor1","idealHumor2","idealIntelligent1","idealIntelligent2","idealKind1","idealKind2","idealParenting1","idealParenting2","idealPhysatt1","idealPhysatt2","idealReligious1","idealReligious2","idealResources1","idealResources2","idealSexy1","idealSexy2","idealStatus1","idealStatus2","ltAttraction","stAttraction","dateInterest","ltAttractionDate","stAttractionDate","dateInterestDate","contactExchange","prevContactExchange","prevContactExchange_1_TEXT","noExchange.","prevKnown","prevKnown_7_TEXT","similarity2.","similarity1","cardUse","openEndedEval","c","p","quarter","PIN","mPIN","dateAffectionateComp","dateAmbitionComp","dateArtisticComp","dateDispositionComp","dateFamilyComp","dateHealthComp","dateHumorComp","dateIntelligentComp","dateKindComp","dateParentingComp","datePhysattComp","dateReligiousComp","dateResourcesComp","dateSexyComp","dateStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","mateAffectionateComp","mateAmbitionComp","mateArtisticComp","mateDispositionComp","mateFamilyComp","mateHealthComp","mateHumorComp","mateIntelligentComp","mateKindComp","mateParentingComp","matePhysattComp","mateReligiousComp","mateResourcesComp","mateSexyComp","mateStatusComp"
1,"",0,5,4,6,5,7,7,6,5,7,7,5,6,5,6,6,6,5,6,7,6,5,5,5,4,5,6,5,4,4,6,6,5,6,5,3,5,5,6,7,5,5,5,7,7,5,5,6,8,8,7,5,7,6,6,5,5,5,5,6,6,7,6,7,6,5,5,6,5,6,6,6,5,6,9,7,5,7,7,8,8,5,5,6,6,5,6,6,5,7,7,2,2,3,3,3,3,0,2,"","I just don't think we really clicked. ","1","",3,5,3,"The date went fine. I don't think it would progress into anything else but had good friendly conversation.","s","f24949822_f24969026","fall","f24949822","f24969026",4.5,5.5,7,5.5,7,5.5,5.5,6,5.5,6.5,5,4.5,5.5,4.5,5,5.5,5.5,4,5.5,6,5,7,5,7,7.5,6,6,5,5,6,6.5,6.5,5,5.5,6,5.5,7.5,6,7,8,5,6,5.5,5.5,7,7.5,8,7.5,6,7.5,4,8.5,6,6.5,6,5.5,4,5,7,7
1,"",0,6,5,5,5,3,4,6,5,7,7,4,5,7,6,5,5,6,6,5,5,6,5,6,4,5,5,5,4,6,5,6,7,7,7,7,7,7,7,7,8,5,5,8,7,6,5,6,8,6,6,5,5,4,3,5,7,6,6,6,6,6,7,7,6,6,6,6,5,6,6,5,5,7,7,5,6,7,7,5,6,6,6,4,4,5,5,6,7,6,5,4,4,3,3,3,3,1,2,"","","1","",4,4,5,"I think that we slowly were off at first but we picked it up. It was some cards but we started to dislike the cards since it felt like we werent getting in depth answers. We seem pretty understanding of each other but there was a few differences in our takes. I think we would be cool friends but she is in her first year and i am in my 3rd so i think that would be the issue in theory.","s","f24969026_f24949822","fall","f24969026","f24949822",5.5,5,3.5,5.5,7,4.5,6.5,5,6,5,5.5,5,5,4.5,5.5,6.5,7,7,7,7.5,5,7.5,5.5,7,6,5,3.5,6,6,6,6.5,6.5,6,5.5,6,5,7,5.5,7,5.5,6,4,5,6.5,5.5,5.5,5.5,4,5.5,6,5,7,5,7,7.5,6,6,5,5,6
1,"",0,7,7,5,5,2,3,9,8,7,7,7,7,8,8,7,7,7,7,6,5,9,7,0,0,5,9,5,4,6,7,5,4,6,6,2,3,8,8,5,8,8,8,4,6,7,7,5,6,5,5,2,2,0,0,8,6,4,0,7,7,5,7,6,7,4,3,6,8,6,6,7,7,6,6,7,6,6,6,5,5,7,6,0,0,10,8,5,0,7,6,3,1,7,3,2,4,1,2,"","","1","",6,5,5,"My date was fairly easy to talk to and seemed to generally be positive. They generally matched me on things I'd see as important for a partner, and had a similar major. I find it again difficult to judge how good of a partner someone would make from just 40 minutes of conversation.
They are two years younger than me, which is not desirable in a partner in the short term (few years).
","s","f24736838_f24587925","fall","f24736838","f24587925",7,5,2.5,8.5,7,7,8,7,7,5.5,8,0,7,4.5,6.5,4.5,6,2.5,8,6.5,8,5,7,5.5,5,2,0,7,2,7,6,6.5,3.5,7,6,7,6,6.5,6,5,6.5,0,9,2.5,6.5,6,4.5,3,6,9,5,6.5,7.5,6.5,5.5,5,0,6,6.5,5
0,"",0,4,3,8,8,2,1,7,7,4,5,5,5,5,4,8,7,5,7,5,4,5,4,1,1,9,8,2,3,5,5,4,8,5,4,2,4,6,6,8,10,5,5,7,6,7,8,7,6,6,5,5,5,0,0,5,7,6,7,5,5,6,8,6,7,5,5,5,5,6,5,5,7,7,7,7,9,7,6,6,5,4,6,2,3,5,7,5,5,5,5,2,3,3,2,2,2,0,2,"","It did not seem like they were that interested in pursuing a relationship, and I do not feel as though there was a lot more to talk about.","1","",5,4,5,"The conversation seemed to flow pretty good at first, we exchanged basic information like name, grade, major, where we're from, etc. We found some interests that we had in common and then started to use the cards some more. It seemed as though he exclusively used the cards and I used them a lot too, but also asking some more of my own questions. After awhile it seemed like we had nothing else to discuss and neither of us wanted to/could carry on the conversation without the prompting of the cards.","s","f24587925_f24736838","fall","f24587925","f24736838",3.5,8,1.5,7,4.5,5,4.5,7.5,6,4.5,4.5,1,8.5,2.5,5,6,4.5,3,6,9,5,6.5,7.5,6.5,5.5,5,0,6,6.5,5,7,6.5,5,5,5.5,6,7,8,6.5,5.5,5,2.5,6,5,5,4.5,7,4,8.5,5.5,8,3.5,7.5,5,6.5,3,0,8,1.5,7.5
0,"",0,5,5,5,5,4,5,5,6,7,7,5,5,6,5,5,5,5,5,7,6,5,5,5,5,5,5,5,5,6,5,6,6,6,5,5,5,5,5,7,7,6,6,6,4,6,5,6,6,6,6,6,6,0,0,6,5,5,5,5,6,5,6,6,5,5,5,5,6,7,7,6,6,6,5,6,5,5,6,6,6,6,6,1,0,6,6,5,5,6,5,3,3,4,3,3,4,1,2,"","","1","",5,6,4,"","r","f24274732_f24440834","fall","f24274732","f24440834",5,5,4.5,5.5,7,5,5.5,5,5,6.5,5,5,5,5,5.5,6,5.5,5,5,7,6,5,5.5,6,6,6,0,5.5,5,5.5,5.5,5.5,5,5.5,7,6,5.5,5.5,5.5,6,6,0.5,6,5,5.5,6,5,5,6,6,5.5,5,5,6,6,5.5,3,5.5,6,5
1,"",0,6,6,7,5,6,6,6,6,7,7,6,7,5,6,6,6,6,6,5,5,6,6,4,4,6,5,6,6,5,6,5,7,5,5,5,5,6,6,6,6,5,6,5,5,5,5,6,6,6,6,5,6,3,3,5,6,6,6,5,5,5,6,5,5,5,5,6,6,5,5,6,6,5,4,5,5,6,6,5,5,5,6,4,3,5,5,5,6,4,4,4,4,4,4,4,4,1,2,"","","1","",5,6,4,"I had a great time. Didn't know what to expect but I had fun. I think we both had a little fun talking to each other. Also, I think this study is doing a great service for couples as well!","r","f24440834_f24274732","fall","f24440834","f24274732",6,6,6,6,7,6.5,5.5,6,6,5,6,4,5.5,6,5.5,6,5,5,6,6,5.5,5,5,6,6,5.5,3,5.5,6,5,5.5,5,5,6,5,6,4.5,5,6,5,5.5,3.5,5,5.5,4,6,5.5,5,5,7,6,5,5.5,6,6,6,0,5.5,5,5.5
0,"",0,5,4,4,4,7,5,3,2,4,6,5,5,6,6,6,6,4,5,3,4,7,6,5,5,6,5,5,4,6,4,5,7,6,6,5,4,6,6,8,8,5,5,7,7,6,6,6,6,7,7,6,6,2,2,5,6,6,7,5,5,4,6,7,8,6,5,5,5,6,7,5,6,8,7,7,7,6,6,6,8,5,5,2,3,6,6,6,7,5,5,5,5,6,4,4,3,1,2,"","","1","",5,6,3,"I felt a bit awkward because of the setting, but I felt that the conversation flow was decent and we were able to have a decent time. It was good but it felt a bit long and I was a bit too conscious on the setting. I enjoyed talking to the person and was not uncomfortable because of them. The question cards were a bit helpful but they did not provide the majority of the conversation because they did not that feel elaborated to me.","r","f24242329_f24962704","fall","f24242329","f24962704",4.5,4,6,2.5,5,5,6,6,4.5,3.5,6.5,5,5.5,4.5,5,6,6,4.5,6,8,5,7,6,6,7,6,2,5.5,6.5,5,5,7.5,5.5,5,6.5,5.5,7.5,7,6,7,5,2.5,6,6.5,5,4.5,3.5,5.5,3,6,5,4.5,6,4,6,4.5,4.5,4,6,4
1,"",0,6,5,6,6,6,6,5,4,7,7,5,5,4,5,5,5,5,5,5,6,7,7,2,2,4,4,5,4,5,5,5,5,4,4,6,6,3,3,3,6,5,5,6,4,6,7,4,3,6,7,4,4,5,5,5,5,5,7,4,4,5,5,5,5,5,6,4,3,6,6,5,5,5,5,9,7,5,4,7,7,6,6,5,5,7,7,6,7,5,5,5,5,6,4,3,3,1,2,"","","1","",5,6,4,"I think the date went better than my first blind date. I think since we were both introverts we had more to relate to and we also shared a lot in common. I do think that since we were both not talkative at some moments it was hard to find something to talk about. The cards definitely helped to facilitate information despite our introverted nature. I also think that at times my assigned partner was not very interested in me or making conversation and she did not find me attractive.","r","f24962704_f24242329","fall","f24962704","f24242329",5.5,6,6,4.5,7,5,4.5,5,5,5.5,7,2,4,4.5,5,5,4,6,3,4.5,5,5,6.5,3.5,6.5,4,5,5,6,4,5,5,5.5,3.5,6,5,5,8,4.5,7,6,5,7,6.5,5,6,6,4.5,6,8,5,7,6,6,7,6,2,5.5,6.5,5
0,"",0,6,5,6,6,4,5,5,5,6,6,5,5,6,6,6,6,5,6,5,6,7,5,0,0,6,6,5,5,6,6,7,8,7,5,5,5,5,5,6,7,6,6,7,6,6,5,6,7,5,7,5,5,2,0,5,6,5,5,6,6,6,8,5,6,5,5,5,6,6,5,5,5,7,7,7,6,5,6,6,6,5,5,0,0,5,6,5,5,6,5,5,4,7,4,3,5,1,2,"","","1","",6,6,3,"The cards were very nice to have to get the conversation flowing. It helped reduce awkwardness in the beginning. After we went through all the cards it wasn't hard to think of things to keep the conversation going. I think the small number of card questions was nice because it kind of forced us to think of our own topics of conversation and talk about what we wanted to otherwise we might have stayed on the cards the whole time.","r","f24274060_f24116902","fall","f24274060","f24116902",5.5,6,4.5,5,6,5,6,6,5.5,5.5,6,0,6,5,6,7.5,6,5,5,6.5,6,6.5,5.5,6.5,6,5,1,5.5,5,6,7,5.5,5,5.5,5.5,5,7,6.5,5.5,6,5,0,5.5,5,5.5,8,8,7.5,7,6,7,8,8,7.5,7,7,4,8,7,7.5
1,"",0,5,3,8,6,4,5,6,7,5,6,5,6,8,8,7,8,6,7,8,7,5,5,5,5,5,6,5,4,6,7,8,8,7,9,7,8,7,7,6,6,7,7,8,8,8,8,7,8,7,7,7,7,6,2,7,9,7,7,9,6,8,8,7,7,7,7,6,6,7,7,7,6,8,8,7,7,6,8,8,8,8,7,5,5,5,7,7,8,7,6,4,3,4,4,4,5,1,2,"","","1","",5,6,5,"The date was good but I felt like she'd be more of a friend. ","r","f24116902_f24274060","fall","f24116902","f24274060",4,7,4.5,6.5,5.5,5.5,8,7.5,6.5,7.5,5,5,5.5,4.5,6.5,8,8,7.5,7,6,7,8,8,7.5,7,7,4,8,7,7.5,8,7,7,6,7,6.5,8,7,7,8,7.5,5,6,7.5,6.5,7.5,6,5,5,6.5,6,6.5,5.5,6.5,6,5,1,5.5,5,6
0,"",0,4,4,1,3,0,0,3,5,5,5,3,3,5,4,5,4,4,3,3,4,5,5,3,1,5,3,5,5,3,4,9,9,6,6,5,4,5,5,6,6,6,6,6,6,5,5,5,6,5,6,5,5,0,0,5,6,5,5,6,6,7,8,6,6,5,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,5,5,0,0,5,6,5,5,6,6,1,1,1,3,5,3,0,2,"","We didn't share important interests or values. It was often awkward and had long silences. I didn't enjoy the time we talked.","1","",2,2,1,"It wasn't terrible and we got along fine but I don't think either of us were interested in each other even as friends because many times we had different opinions. We liked different things and didn't share a lot of interests that were important to me. He made an effort to fill the silence but I didn't neccessarily want to keep talking.","s","f24274060_f24819140","fall","f24274060","f24819140",4,2,0,4,5,3,4.5,4.5,3.5,3.5,5,2,4,5,3.5,9,6,4.5,5,6,6,6,5,5.5,5.5,5,0,5.5,5,6,7.5,6,5,5,5,6,6,5.5,5.5,6,5,0,5.5,5,6,7,7.5,1,6.5,8.5,6.5,6,7,7,4,4,0,6.5,5,5
1,"",0,5,5,5,5,3,5,6,7,5,6,8,7,7,5,6,7,7,7,3,6,3,3,5,5,5,5,5,5,7,5,7,7,8,7,0,2,7,6,8,9,6,7,7,5,7,7,8,6,3,5,4,4,0,0,5,8,5,5,5,5,9,8,7,8,5,5,7,8,7,7,7,6,7,6,7,7,8,7,6,6,8,7,5,4,7,7,5,5,7,6,1,1,2,3,1,2,0,2,"","We didn't get around to it.","1","",4,3,1,"It got awkward at times when we didn/t know what to talk about and the cards didn't really help us much with giving us topics to talk about. ","s","f24819140_f24274060","fall","f24819140","f24274060",5,5,4,6.5,5.5,7.5,6,6.5,7,4.5,3,5,5,5,6,7,7.5,1,6.5,8.5,6.5,6,7,7,4,4,0,6.5,5,5,8.5,7.5,5,7.5,7,6.5,6.5,7,7.5,6,7.5,4.5,7,5,6.5,7.5,6,5,5,6.5,6,6.5,5.5,6.5,6,5,1,5.5,5,6
0,"",0,5,5,4,5,2,3,5,5,5,5,6,7,5,4,5,5,5,5,2,4,4,5,5,5,6,6,4,4,5,5,6,5,6,6,5,5,7,7,3,3,5,5,7,6,5,5,6,6,7,7,6,5,5,5,5,5,6,5,5,5,7,5,6,6,5,5,7,6,5,5,5,5,6,7,6,7,5,6,7,7,6,6,5,4,7,6,7,5,5,5,1,1,1,1,1,1,0,2,"","We don't have a lot in common and we told each other that we aren't attracted to each other. ","1","",3,3,3,"We used the cards a bit in the beginning to guide the conversation and then we started talking without them. We talked about our past relationships, school, family, religion, and friends. We were friendly and got to know each other relatively well, but it was clear we weren't attracted to each other. ","s","f24192151_f2499921","fall","f24192151","f2499921",5,4.5,2.5,5,5,6.5,4.5,5,5,3,4.5,5,6,4,5,5.5,6,5,7,3,5,6.5,5,6,7,5.5,5,5,5.5,5,6,6,5,6.5,5,5,6.5,6.5,5.5,7,6,4.5,6.5,6,5,7,9,5.5,7.5,5.5,8.5,8.5,7,7.5,5,6.5,3,7.5,6.5,7
1,"",0,6,6,6,6,5,6,8,7,6,6,6,8,6,7,6,6,6,7,9,8,6,6,7,7,5,5,7,7,6,6,7,7,9,9,6,5,8,7,5,6,9,8,9,8,7,7,7,8,5,5,7,6,4,2,6,9,7,6,7,7,6,6,9,9,5,5,7,6,6,5,7,6,7,6,7,7,6,7,5,5,7,5,5,5,6,5,5,6,6,7,5,4,5,5,4,4,1,2,"","","1","",5,5,2,"I think it was a pretty cool experience. I have never talked with a white woman about my personal experiences. ","s","f2499921_f24192151","fall","f2499921","f24192151",6,6,5.5,7.5,6,7,6.5,6,6.5,8.5,6,7,5,7,6,7,9,5.5,7.5,5.5,8.5,8.5,7,7.5,5,6.5,3,7.5,6.5,7,6,9,5,6.5,5.5,6.5,6.5,7,6.5,5,6,5,5.5,5.5,6.5,5.5,6,5,7,3,5,6.5,5,6,7,5.5,5,5,5.5,5
1,"",1,5,5,6,6,5,6,6,6,6,6,6,5,5,5,6,6,5,6,5,5,6,6,5,5,6,6,5,5,6,5,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,5,4,4,6,6,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,5,6,6,6,4,4,4,3,3,3,0,2,"","Didnt feel like doing so
","1","",4,4,1,"The date was easier this time. She seemed kind. The vibes were alright.","s","f24661978_f24154830","fall","f24661978","f24154830",5,6,5.5,6,6,5.5,5,6,5.5,5,6,5,6,5,5.5,5.5,6.5,6,6,6,6,6,5.5,6,5.5,5,4,6,5.5,5,6,6,6,5.5,6,6,6,6,6,6,6,4,6,5.5,6,6,7,7,6.5,6,5.5,6,6.5,6.5,5.5,5.5,5,7,5,7
0,"",0,5,5,7,7,6,8,7,5,5,5,5,5,6,5,8,7,6,6,5,5,7,5,5,5,5,8,5,5,5,7,8,8,8,8,8,8,8,6,7,8,5,8,7,6,7,8,7,8,8,8,6,5,8,8,8,8,8,5,7,8,7,5,8,8,4,7,8,7,6,5,7,6,7,6,7,8,7,8,7,6,7,5,6,5,8,8,5,5,6,7,5,4,5,4,4,5,1,2,"","","1","",5,5,1,"I thought he was pretty easy to talk to and we were pretty engaged in the conversation. Despite the windy weather it went by pretty fast. I definitely enjoyed the date and wouldn't mind going on another with my partner if I had to. Overall it was a good experience.","s","f24154830_f24661978","fall","f24154830","f24661978",5,7,7,6,5,5,5.5,7.5,6,5,6,5,6.5,5,6,8,8,8,7,7.5,6.5,6.5,7.5,7.5,8,5.5,8,8,6.5,7.5,6,8,5.5,7.5,5.5,6.5,6.5,7.5,7.5,6.5,6,5.5,8,5,6.5,5,6.5,6,6.5,6,6,6.5,6,6,5.5,5,4,6,5,6
1,"",0,6,6,7,7,7,7,8,7,7,8,8,7,7,6,8,7,7,8,5,7,6,6,3,3,7,8,5,5,6,6,6,7,6,6,5,5,7,7,6,7,7,7,6,5,6,6,8,7,7,6,6,6,0,0,7,7,5,5,6,6,6,6,7,7,5,5,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,6,3,3,7,7,6,5,6,6,3,3,2,1,1,2,1,2,"","","1","",5,6,1,"She was cool; seemed smart as well as driven. We shared quite a few interests. From our interactions I believe we could be good friends, but I do not think anything romantic will evolve -- partially because of our shared interests. I believe I prefer someone with different hobbies from me, as I get to learn about different things.
","s","f2424382_f24372620","fall","f2424382","f24372620",6,7,7,7.5,7.5,7.5,6.5,7.5,7.5,6,6,3,7.5,5,6,6.5,6,5,7,6.5,7,5.5,6,7.5,6.5,6,0,7,5,6,6,7,5,7,7,7,6,6.5,7,7,6.5,3,7,5.5,6,3,9.5,5.5,7,9,2.5,7.5,8.5,7.5,7,7.5,7,8,5.5,7
0,"",0,8,4,7,8,6,6,8,6,8,7,8,7,6,7,8,6,8,7,6,6,6,7,5,5,9,9,6,5,6,6,7,3,10,9,4,7,6,6,10,10,3,2,7,6,8,9,6,5,6,5,6,8,7,7,7,10,5,7,7,8,8,7,8,7,4,8,7,7,7,5,5,5,6,7,7,8,6,7,7,6,6,7,6,6,6,5,5,7,7,7,6,4,5,4,4,5,1,2,"","","1","",3,5,1,"I don't know if I'd want to date him, but I definitely would want to get to know him more before deciding. I feel like we get along really well, but I can't tell if I'd see him in a romantic way. Definitely have a lot in common and it felt like there was way better conversation flow than with the last guy, even if we didn't talk about topics that were as deep. It also felt a little weird that he was a little younger than me.","s","f24372620_f2424382","fall","f24372620","f2424382",6,7.5,6,7,7.5,7.5,6.5,7,7.5,6,6.5,5,9,5.5,6,5,9.5,5.5,6,10,2.5,6.5,8.5,5.5,5.5,7,7,8.5,6,7.5,7.5,7.5,6,7,6,5,6.5,7.5,6.5,6.5,6.5,6,5.5,6,7,6.5,6,5,7,6.5,7,5.5,6,7.5,6.5,6,0,7,5,6
0,"",0,5,5,6,6,6,5,5,5,5,5,5,5,5,5,6,6,5,6,5,5,7,6,5,5,5,6,5,5,5,5,5,5,7,7,5,5,5,5,2,4,5,5,5,5,6,6,7,5,2,4,6,5,1,1,6,6,5,6,5,5,7,6,6,6,6,5,5,6,4,6,6,6,5,5,8,7,8,7,3,5,7,7,1,0,7,7,6,5,5,5,4,5,5,3,3,4,1,2,"","","1","",5,4,1,"It feels much more natural than i expected because i thought someone will be watching our interaction. We did not discuss the card questions because they are kinda ""too much"" for the first conversation. It is also nice that we can walk around instead of just sitting there. It feels natural cause it does not really feel like a study.","r","f24802400_f24473747","fall","f24802400","f24473747",5,6,5.5,5,5,5,5,6,5.5,5,6.5,5,5.5,5,5,5,7,5,5,3,5,5,6,6,3,5.5,1,6,5.5,5,6.5,6,5.5,5.5,5,6,5,7.5,7.5,4,7,0.5,7,5.5,5,6.5,5.5,6,5,4,3.5,6,6.5,5,5,6,1,5,9,5.5
1,"",1,5,3,7,7,5,5,6,6,5,5,5,6,5,5,6,7,5,7,5,5,5,5,5,5,6,6,5,5,6,6,6,7,6,5,6,6,5,5,4,4,4,3,6,6,6,7,5,5,5,5,6,6,0,2,4,6,9,9,5,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,6,7,7,7,5,4,7,6,2,2,4,4,8,9,5,5,1,1,1,1,1,1,0,2,"","I think we did not connect in the way I would have needed to want a second date.","1","",2,1,1,"I felt that we both were aware that we were not the other persons type (personality, looks) from the moment we got up  have the conversation, we were then pretty cordial for the remainder of the time. It was interesting seeing someone else life and thoughts out the dating study, as we tried to find out how they paired us up. I felt bad as I wish I would have had more to say but I don't think we had much in common and I don't think we would have met up had it not been for the study.","r","f24473747_f24802400","fall","f24473747","f24802400",4,7,5,6,5,5.5,5,6.5,6,5,5,5,6,5,6,6.5,5.5,6,5,4,3.5,6,6.5,5,5,6,1,5,9,5.5,6,6,6,6,5,5,6,6.5,7,4.5,6.5,2,4,8.5,5,5,7,5,5,3,5,5,6,6,3,5.5,1,6,5.5,5
1,"",0,8,8,8,9,5,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,6,5,7,6,7,6,5,8,8,6,8,9,8,5,6,8,10,8,7,9,7,9,7,7,7,8,8,6,6,7,7,6,5,5,7,6,7,7,6,7,7,7,8,5,6,8,7,8,7,8,8,7,7,7,7,8,8,8,7,8,6,6,5,6,6,6,7,7,7,5,4,5,4,4,4,1,2,"","","2","",7,7,4,"fun date
love talking to the date
very chill person
would go on date again ","s","f24936438_f24551350","fall","f24936438","f24551350",8,8.5,6.5,8,8,8,8,8,7.5,7.5,7,6,6.5,5.5,8,7,8.5,5.5,9,7.5,8,8,7,8,6,7,5.5,6,6.5,6.5,7,7.5,5.5,7.5,7.5,8,7,7,8,7.5,7,5.5,6,6.5,7,5.5,6.5,4.5,6.5,8.5,5,6,5,5.5,7.5,5,2,6,5.5,5.5
0,"",1,6,5,6,8,5,4,7,7,4,5,6,6,5,4,6,6,5,6,5,4,4,3,5,4,4,7,3,6,6,5,6,5,6,7,5,4,7,6,7,10,5,5,7,5,5,5,6,5,8,7,5,5,2,2,8,4,5,6,6,5,6,5,7,7,5,5,7,5,6,7,6,7,6,8,6,7,6,7,6,7,6,6,2,2,7,6,8,5,7,5,1,1,1,4,3,4,0,2,"","I feel that there's a conflict of interest because I work in the dorm in which he resides. I also am ultimately not interested in him sexually or romantically, but he seems like a kind person!","5","",3,4,4,"Was an interesting experience for sure, although I will say it was more of a friendly connection from my point of view. The age was definitely a deterrent for me, seeing as he's significantly younger (or younger seeming) than I am. I feel that his responses were very thought out and it was nice to speak to someone so open minded. Overall a fun experience, but I would not date him.","s","f24551350_f24936438","fall","f24551350","f24936438",5.5,7,4.5,7,4.5,6,4.5,6,5.5,4.5,3.5,4.5,5.5,4.5,5.5,5.5,6.5,4.5,6.5,8.5,5,6,5,5.5,7.5,5,2,6,5.5,5.5,5.5,7,5,6,6.5,6.5,7,6.5,6.5,6.5,6,2,6.5,6.5,6,7.5,9.5,6,8,7.5,8,7.5,8,9,5.5,7,5,6.5,7,7.5
1,"",0,5,5,9,8,9,6,8,8,8,8,8,7,8,8,8,8,7,8,7,7,8,8,5,5,6,7,5,5,8,8,6,6,8,8,5,6,8,8,6,8,7,8,7,7,7,7,6,7,8,7,7,6,0,0,5,6,5,5,7,8,6,5,8,8,5,5,8,8,7,7,7,7,6,7,8,7,5,7,6,6,7,6,4,0,5,6,5,5,8,8,2,2,4,2,2,4,1,1,"Social Media accounts","","1","",5,5,4,"I believed the date brought forth a new relationship, however I think the explanation of the date, the purpose of the study, and the cards, lead this date to be more of making a new friend rather than a romantic-based date. The algorithm based off what we shared that we put in our original survey, seemed that we wanted different things, raising curiosities as to the purpose of the date and its intentions. We both I think will be good friends after the date and are motivated in our passions! I think it was a nice study to partake in however concerned for the effort of the lab in analyzing the results and conclusions.","s","f24327141_f24942349","fall","f24327141","f24942349",5,8.5,7.5,8,8,7.5,8,8,7.5,7,8,5,6.5,5,8,6,8,5.5,8,7,7.5,7,7,6.5,7.5,6.5,0,5.5,5,7.5,5.5,8,5,8,7,7,6.5,7.5,6,6,6.5,2,5.5,5,8,6.5,8.5,8,9,8,9,8.5,8,7,7,8.5,1.5,7.5,7.5,8.5
0,"",0,7,6,8,8,0,0,9,9,6,6,6,7,7,7,7,6,8,7,7,5,2,2,1,1,7,7,1,2,7,7,7,6,8,9,8,8,9,9,8,8,9,9,9,8,8,8,6,8,7,7,9,8,3,0,7,8,8,7,9,8,8,7,7,7,3,5,8,8,7,6,7,7,8,9,7,7,8,8,8,7,9,9,5,2,8,8,9,8,9,9,1,1,1,3,2,2,0,1,"social media account","We have already exchanged social media and I will not be interested in going on another date, so don't need to share my phone number.","1","",4,3,5,"Age was a very important factor to me, however he was 2 and a half years younger than me, so that already didn't work. For me, physical attraction was a big thing but here i was not attracted at all. I feel like if the most important factors are not taken into account, it is not worth going into. He is very nice, however, but if something happens it will be purely platonic. Somehow, I think the algorithm did not succeed. I was pretty disappointed.","s","f24942349_f24327141","fall","f24942349","f24327141",6.5,8,0,9,6,6.5,7,6.5,7.5,6,2,1,7,1.5,7,6.5,8.5,8,9,8,9,8.5,8,7,7,8.5,1.5,7.5,7.5,8.5,7.5,7,4,8,6.5,7,8.5,7,8,7.5,9,3.5,8,8.5,9,6,8,5.5,8,7,7.5,7,7,6.5,7.5,6.5,0,5.5,5,7.5
0,"",0,6,5,6,7,5,5,7,6,9,9,6,6,7,5,6,7,6,8,6,6,5,5,5,5,5,7,5,5,5,4,6,5,6,10,5,5,10,5,10,9,5,5,9,5,5,5,10,10,10,10,5,5,5,5,6,10,5,5,5,5,9,5,7,10,6,6,9,10,10,10,6,5,6,6,6,6,10,10,10,10,5,5,5,5,10,10,5,5,6,6,1,1,3,1,1,1,0,2,"","I wouldn't exchange information if that would make them uncomfortable.","1","",4,5,4,"I enjoyed hearing about him being close to his family since family is important to me. I liked that he was honest with the answers he was giving. I was nervous at first but talking about the cards did help. There were moments in which there was silence but we ended up asking random questions. ","r","f24362116_f24868038","fall","f24362116","f24868038",5.5,6.5,5,6.5,9,6,6,6.5,7,6,5,5,6,5,4.5,5.5,8,5,7.5,9.5,5,7,5,10,10,5,5,8,5,5,7,8.5,6,9.5,10,5.5,6,6,10,10,5,5,10,5,6,5.5,8,4.5,7.5,10,7,9,6,6.5,5,5.5,1.5,5,5,7
