"sex","sex_4_TEXT","relStat","dateAffectionate1","dateAffectionate2","dateAmbition1","dateAmbition2","dateArtistic1","dateArtistic2","dateDisposition1","dateDisposition2","dateFamily1","dateFamily2","dateHealth1","dateHealth2","dateHumor1","dateHumor2","dateIntelligent1","dateIntelligent2","dateKind1","dateKind2","dateParenting1","dateParenting2","datePhysatt1","datePhysatt2","dateReligious1","dateReligious2","dateResources1","dateResources2","dateSexy1","dateSexy2","dateStatus1","dateStatus2","selfAffectionate1","selfAffectionate2","selfAmbition1","selfAmbition2","selfArtistic1","selfArtistic2","selfDisposition1","selfDisposition2","selfFamily1","selfFamily2","selfHealth1","selfHealth2","selfHumor1","selfHumor2","selfIntelligent1","selfIntelligent2","selfKind1","selfKind2","selfParenting1","selfParenting2","selfPhysatt1","selfPhysatt2","selfReligious1","selfReligious2","selfResources1","selfResources2","selfSexy1","selfSexy2","selfStatus1","selfStatus2","idealAffection1","idealAffection2","idealAmbition1","idealAmbition2","idealArtistic1","idealArtistic2","idealDisposition1","idealDisposition2","idealFamily1","idealFamily2","idealHealth1","idealHealth2","idealHumor1","idealHumor2","idealIntelligent1","idealIntelligent2","idealKind1","idealKind2","idealParenting1","idealParenting2","idealPhysatt1","idealPhysatt2","idealReligious1","idealReligious2","idealResources1","idealResources2","idealSexy1","idealSexy2","idealStatus1","idealStatus2","ltAttraction","stAttraction","dateInterest","ltAttractionDate","stAttractionDate","dateInterestDate","contactExchange","prevContactExchange","prevContactExchange_1_TEXT","noExchange.","prevKnown","prevKnown_7_TEXT","similarity2.","similarity1","cardUse","openEndedEval","c","p","quarter","PIN","mPIN","dateAffectionateComp","dateAmbitionComp","dateArtisticComp","dateDispositionComp","dateFamilyComp","dateHealthComp","dateHumorComp","dateIntelligentComp","dateKindComp","dateParentingComp","datePhysattComp","dateReligiousComp","dateResourcesComp","dateSexyComp","dateStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","mateAffectionateComp","mateAmbitionComp","mateArtisticComp","mateDispositionComp","mateFamilyComp","mateHealthComp","mateHumorComp","mateIntelligentComp","mateKindComp","mateParentingComp","matePhysattComp","mateReligiousComp","mateResourcesComp","mateSexyComp","mateStatusComp"
1,"",0,5,5,7,7,4,5,5,5,6,7,6,7,6,5,7,7,6,6,6,5,6,6,4,4,6,7,5,5,6,8,6,5,5,4,4,6,7,6,7,7,8,7,6,5,7,6,7,7,7,7,6,6,4,5,5,5,7,5,5,5,6,5,5,6,5,5,6,5,6,6,7,8,6,7,7,6,6,7,7,6,6,6,5,5,6,5,6,5,6,5,5,3,4,4,4,5,1,1,"Phone","","1","",5,5,5,"She was a very kind person who shared many of the same interests as me. The conversation flowed very well and the conversation cards were very helpful. We were able to connect on multiple topics that were shared between us like our family and out academic interests. Overall, it was an enjoyable experience because we seemed to get along. ","s","f24779527_f24189848","fall","f24779527","f24189848",5,7,4.5,5,6.5,6.5,5.5,7,6,5.5,6,4,6.5,5,7,5.5,4.5,5,6.5,7,7.5,5.5,6.5,7,7,6,4.5,5,6,5,5.5,5.5,5,5.5,6,7.5,6.5,6.5,6.5,6.5,6,5,5.5,5.5,5.5,6.5,8.5,4.5,6,6.5,6,6.5,8,5.5,7.5,6,4,7.5,7,7.5
0,"",0,6,5,6,7,3,5,8,8,9,8,7,7,6,5,8,8,7,7,8,7,5,5,5,5,7,6,4,5,5,6,7,6,8,9,3,6,6,6,6,7,6,6,6,7,8,8,5,6,7,8,7,5,4,4,7,8,7,7,8,7,6,8,7,8,4,5,5,5,6,7,7,7,6,8,8,8,6,7,7,8,7,7,5,5,7,6,7,7,6,7,4,3,3,5,5,4,1,2,"","","1","",5,6,4,"The date went well, it felt like we could be good friends. He seemed really sweet and like someone who I would trust for good advice","s","f24189848_f24779527","fall","f24189848","f24779527",5.5,6.5,4,8,8.5,7,5.5,8,7,7.5,5,5,6.5,4.5,5.5,6.5,8.5,4.5,6,6.5,6,6.5,8,5.5,7.5,6,4,7.5,7,7.5,7,7.5,4.5,5,6.5,7,7,8,6.5,7.5,7,5,6.5,7,6.5,5.5,4.5,5,6.5,7,7.5,5.5,6.5,7,7,6,4.5,5,6,5
0,"",0,5,7,5,5,6,5,8,8,8,9,7,7,9,9,5,6,8,7,10,8,7,7,7,6,8,8,8,8,6,6,8,9,8,7,4,4,7,4,7,9,9,8,9,8,8,7,8,8,8,9,6,5,5,3,7,9,8,6,7,7,9,7,9,8,5,5,8,7,10,8,8,8,10,9,8,8,9,8,10,10,8,7,7,6,10,8,8,7,7,7,5,4,5,4,3,4,1,1,"phone number ","","1","",5,5,3,"I was expecting this to go a lot worse than it did. I didn't expect him to actually be a normal attractive guy, but I was very surprised. We got along very well, the conversation flowed easily, was never awkward, and we laughed a ton. He is a junior and I'm a freshmen, but the age gap doesn't really bother me. Overall, nice experience, I would definitely be down to getting to know him more.  ","s","f24319340_f24158421","fall","f24319340","f24158421",6,5,5.5,8,8.5,7,9,5.5,7.5,9,7,6.5,8,8,6,8.5,7.5,4,5.5,8,8.5,8.5,7.5,8,8.5,5.5,4,8,7,7,8,8.5,5,7.5,9,8,9.5,8,8.5,10,7.5,6.5,9,7.5,7,5,7.5,3,7.5,5.5,7,8.5,6,5.5,6,7,4,8,7,6
1,"",0,5,5,6,5,5,5,5,6,7,8,7,7,5,6,7,7,5,5,6,6,8,8,5,4,9,7,5,7,6,6,3,7,7,8,3,3,8,7,4,7,7,7,8,9,6,6,5,6,6,6,6,8,4,4,8,8,7,7,6,6,5,6,6,6,7,7,7,7,7,6,7,7,8,7,8,7,6,7,7,8,8,8,4,5,6,5,7,7,6,6,5,5,5,5,5,5,0,1,"phone number","already did","1","",5,6,3,"The conversation went smoothly from the very beginning with very little awkwardness. We talked an even amount and would answer the same questions we asked each other. Neither of us were expecting to like the date as much as we did. Time went by quickly and I think we both wouldn't have minded if it went longer. We plan to see each other again.","s","f24158421_f24319340","fall","f24158421","f24319340",5,5.5,5,5.5,7.5,7,5.5,7,5,6,8,4.5,8,6,6,5,7.5,3,7.5,5.5,7,8.5,6,5.5,6,7,4,8,7,6,5.5,6,7,7,6.5,7,7.5,7.5,6.5,7.5,8,4.5,5.5,7,6,8.5,7.5,4,5.5,8,8.5,8.5,7.5,8,8.5,5.5,4,8,7,7
1,"",0,5,5,4,4,5,6,6,6,7,6,6,6,6,3,7,6,6,6,5,5,2,3,5,5,6,4,2,3,5,5,6,7,6,6,3,5,7,7,8,8,8,7,8,6,7,7,7,6,5,6,6,5,4,4,5,6,3,5,6,6,6,6,6,6,4,5,7,7,7,7,7,6,7,7,6,6,7,7,6,5,7,7,3,3,4,5,5,5,6,6,2,2,2,3,2,2,0,2,"","I am not really interested in her and we didn't connect that much. My blind date partner is nice and friendly though.","1","",2,2,3,"I felt that she was probably shy and quiet because she is an international student and this is a completely new environment that if overwhelming for her especially given that its her first year here.","r","f24957279_f24518443","fall","f24957279","f24518443",5,4,5.5,6,6.5,6,4.5,6.5,6,5,2.5,5,5,2.5,5,6.5,6,4,7,8,7.5,7,7,6.5,5.5,5.5,4,5.5,4,6,6,6,4.5,7,7,6.5,7,6,7,5.5,7,3,4.5,5,6,5,5,6.5,7.5,7.5,6.5,5,5,6.5,5,5,2.5,7.5,6.5,5
0,"",0,7,7,3,5,7,5,5,7,5,6,7,5,5,5,5,5,7,7,5,5,7,7,5,0,7,7,7,7,7,5,5,5,5,5,5,8,7,8,5,10,5,8,5,5,5,5,8,5,5,5,5,5,0,5,10,5,5,8,5,5,5,8,3,8,7,5,5,10,10,10,7,7,5,10,8,7,7,8,5,10,10,5,5,3,10,8,7,7,7,5,4,1,3,3,2,2,1,2,"","","1","",3,1,2,"I think that we have the different hobby and different ambitions. He is a kind boy. We all from China,so we have the same culture at all. I think that we can not be friends at all. We have different personality.","r","f24518443_f24957279","fall","f24518443","f24957279",7,4,6,6,5.5,6,5,5,7,5,7,2.5,7,7,6,5,5,6.5,7.5,7.5,6.5,5,5,6.5,5,5,2.5,7.5,6.5,5,6.5,5.5,6,7.5,10,7,7.5,7.5,7.5,7.5,7.5,4,9,7,6,6.5,6,4,7,8,7.5,7,7,6.5,5.5,5.5,4,5.5,4,6
1,"",0,5,5,7,6,7,7,7,7,6,7,7,6,6,6,7,5,5,6,5,5,6,7,5,5,5,8,5,7,5,6,7,8,7,9,6,7,3,2,7,8,5,5,4,5,7,8,5,5,6,5,7,6,5,5,5,8,7,9,5,5,7,7,7,7,7,7,5,5,8,7,7,7,6,6,10,7,7,7,8,8,9,9,5,5,6,7,8,8,6,6,3,3,4,3,3,4,1,2,"","","1","",2,2,5,"She was a cutie. Talking with her was nice, she was considerate and made an effort to get to know me. She was moderately attractive to me, I'd say more than the average girl. She seemed well spoken, articulate, and intelligent.","r","f248936_f2435017","fall","f248936","f2435017",5,6.5,7,7,6.5,6.5,6,6,5.5,5,6.5,5,6.5,6,5.5,7.5,8,6.5,2.5,7.5,5,4.5,7.5,5,5.5,6.5,5,6.5,8,5,7,7,7,5,7.5,7,6,8.5,7,8,9,5,6.5,8,6,7.5,7.5,6.5,7,7.5,5,5.5,6,7.5,6,7,3,5,6,6
0,"",0,7,7,6,6,7,6,4,4,7,6,7,7,5,6,7,7,6,6,5,5,7,5,3,3,5,6,5,5,5,6,7,8,7,8,6,7,7,7,7,8,5,5,6,5,6,6,7,8,5,7,7,7,3,3,5,5,6,6,6,6,8,7,8,8,5,5,7,6,6,6,5,6,7,7,8,6,7,8,8,7,7,6,5,5,7,6,7,5,8,7,3,3,3,3,3,2,0,2,"","I think he was a cool guy but I don't see a relationship in the future for us.","1","",5,5,6,"I thought he was a nice guy and a smart person. I didn't feel any romantic connection nor was I super attracted to him. We used the cards a lot but I also tried to steer them into natural conversations.","r","f2435017_f248936","fall","f2435017","f248936",7,6,6.5,4,6.5,7,5.5,7,6,5,6,3,5.5,5,5.5,7.5,7.5,6.5,7,7.5,5,5.5,6,7.5,6,7,3,5,6,6,7.5,8,5,6.5,6,5.5,7,7,7.5,7.5,6.5,5,6.5,6,7.5,7.5,8,6.5,2.5,7.5,5,4.5,7.5,5,5.5,6.5,5,6.5,8,5
0,"",0,6,4,8,8,3,5,8,7,9,5,8,8,8,8,9,8,7,8,8,8,5,5,3,4,7,8,5,5,8,7,7,7,7,8,8,8,8,8,10,9,8,8,9,8,8,7,8,8,8,8,8,8,8,6,5,6,6,6,8,8,8,8,8,9,5,8,8,8,8,7,8,7,8,8,8,8,9,8,8,8,7,5,7,6,8,5,7,7,8,8,4,3,2,6,5,6,0,2,"","I chose not to exchange contact information with my blind date partner because he is a little bit younger than me and although we got along well, it felt more platonic than romantic to me. ","1","",5,4,2,"I thought the date was fine, we talked about basic facts about ourselves. He seems like a very nice, driven, and knowledgeable person, but I just don;t think we have much in common. Since he is a freshman too, there is a lot of new things happening for him, so it seems like we're just at very different stages in life. I enjoyed talking to him, but I would rather be friends.","r","f24438165_f24936438","fall","f24438165","f24936438",5,8,4,7.5,7,8,8,8.5,7.5,8,5,3.5,7.5,5,7.5,7,7.5,8,8,9.5,8,8.5,7.5,8,8,8,7,5.5,6,8,8,8.5,6.5,8,7.5,7.5,8,8,8.5,8,6,6.5,6.5,7,8,7.5,9.5,6,8,7.5,8,7.5,8,9,5.5,7,5,6.5,7,7.5
1,"",0,5,8,6,6,7,5,6,5,8,7,5,7,6,6,6,6,7,6,6,6,7,6,5,5,5,5,5,5,5,5,7,8,10,9,5,7,8,8,7,8,8,8,8,7,8,8,9,9,6,5,7,7,7,3,5,8,6,8,8,7,8,8,9,8,7,8,8,8,8,8,8,8,7,8,6,8,8,8,8,8,8,8,5,3,5,7,8,9,7,6,4,4,4,3,3,4,1,2,"","","1","",6,5,2,"we talked about 1 card about long term relationship.
athletic date, driven.
I wouldn't mind a second date
the date was fun, we talked a lot about ourselves. ","r","f24936438_f24438165","fall","f24936438","f24438165",6.5,6,6,5.5,7.5,6,6,6,6.5,6,6.5,5,5,5,5,7.5,9.5,6,8,7.5,8,7.5,8,9,5.5,7,5,6.5,7,7.5,8,8.5,7.5,8,8,8,7.5,7,8,8,8,4,6,8.5,6.5,7,7.5,8,8,9.5,8,8.5,7.5,8,8,8,7,5.5,6,8
1,"",0,6,6,8,7,8,8,8,8,8,8,8,7,7,8,7,8,7,8,8,6,6,6,5,5,8,7,5,5,8,8,5,5,6,5,4,4,6,6,8,8,6,5,8,7,7,7,6,6,7,7,6,5,6,5,6,7,6,7,6,7,6,7,7,7,7,6,7,7,8,7,7,7,7,8,6,6,8,8,6,7,8,9,5,5,8,8,7,6,7,7,4,4,4,1,1,1,1,2,"","","1","",6,6,7,"Very compatible in almost all topics. Had a good conversation that flowed very easily and comfortably. Did not feel like it was our first time meeting, skipped over the awkward stage fairly quickly.","r","f24169226_f24602929","fall","f24169226","f24602929",6,7.5,8,8,8,7.5,7.5,7.5,7.5,7,6,5,7.5,5,8,5,5.5,4,6,8,5.5,7.5,7,6,7,5.5,5.5,6.5,6.5,6.5,6.5,7,6.5,7,7.5,7,7.5,6,8,6.5,8.5,5,8,6.5,7,5.5,5,5.5,6.5,6,6.5,5.5,6,7,5,5.5,3,6,5,6
