"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp"
353,0,26,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,9,8,6,7,6,4,7,5,7,7,6,1,4,8,7,9,7,8,9,7,5,8,8,10,6,6,1,4,9,9
381,0,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,7,6,9,7,9,4,9,10,10,9,6,7,5,9,6,8,8,9,8,7,6,8,9,9,9,9,5,5,8,7,7
270,0,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,13,5,5,7,3,5,5,6,7,4,6,7,5,9,5,5,5,6,4,5,7,5,5,5,6,7,7,6,6,8,6,6
357,0,21,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,5,9,7,4,9,7,6,8,7,9,8,7,1,7,9,6,9,7,5,7,10,8,7,8,10,9,8,2,6,8,8
393,0,26,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,7,7,8,6,7,7,6,6,6,6,7,9,8,6,6,5,7,8,6,6,6,4,7,6,5,6,9,4,4,4
451,0,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,7,4,6,8,5,8,6,8,7,8,8,9,8,5,10,7,7,7,10,7,8,7,9,7,10,9,10,7,8,9,9,7
368,0,24,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,11,7,8,7,4,8,6,8,10,9,8,7,8,2,7,6,8,7,9,6,7,6,6,9,7,9,4,7,2,7,6,7
455,0,22,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,12,1,10,8,7,6,10,7,9,6,8,9,7,5,9,7,6,10,9,6,9,2,9,8,8,7,7,9,6,6,7,9
380,0,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,6,6,4,7,6,3,7,6,5,3,6,4,6,5,7,6,8,5,5,7,8,6,7,7,6,7,7,6,7,7,7
351,0,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,8,1,5,5,5,6,2,5,4,6,4,3,6,3,5,6,4,5,6,5,5,5,6,5,6,3,5,5,3,6,6,4
354,0,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,3,8,2,3,4,6,8,5,6,4,6,3,1,4,5,5,6,6,4,4,7,5,4,5,7,4,5,0,5,5,4
330,0,23,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,4,6,9,5,6,8,8,9,7,7,6,4,9,5,5,6,7,5,4,4,5,4,6,5,3,3,4,7,2,3,4
