"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","idealAffectionate","idealAmbitious","idealArtistic","idealDisposition","idealFamily","idealHealth","idealHumor","idealIntelligence","idealKind","idealParenting","idealPhysatt","idealReligious","idealResources","idealSexiness","idealStatus","selfAffectionate","selfAmbitious","selfArtistic","selfDisposition","selfFamily","selfHealth","selfHumor","selfIntelligence","selfKind","selfParenting","selfPhysatt","selfReligious","selfResources","selfSexiness","selfStatus","mPIN"
"f23422",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,4,7,8,8,8,8,8,7,8,2,8,8,11,7,8,7,8,9,9,6,8,9,8,6,0,8,8,11,NA
"f23376",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,7,5,5,7,7,8,5,6,2,7,6,11,7,8,4,8,6,5,6,7,8,5,5,0,7,6,11,"f23451"
"f23066",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,5,8,8,7,9,6,8,6,5,5,7,8,11,6,7,5,8,8,8,9,5,8,10,7,3,5,8,11,"f23452"
"f23304",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,6,7,6,9,6,7,7,8,3,6,7,11,5,6,5,7,9,6,6,6,6,6,6,3,5,7,11,NA
"f23127",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,5,9,9,10,9,7,9,5,5,5,8,7,11,7,6,3,5,10,10,5,6,7,5,5,1,5,5,11,"f23377"
"f23025",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,5,6,7,8,7,5,5,5,2,6,4,11,7,4,8,6,7,5,4,5,6,5,5,0,5,4,11,"f23224"
"f23448",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,7,5,6,9,10,10,7,10,5,10,9,11,7,5,5,5,7,5,8,9,6,10,10,4,8,9,11,"f23009"
"f23071",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,6,7,6,7,5,8,5,5,3,8,7,11,6,7,5,5,5,5,6,6,7,5,6,3,5,7,11,"f23260"
"f23336",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,6,5,5,6,6,8,8,5,6,4,6,7,11,8,6,5,6,7,5,5,6,6,6,5,4,6,6,11,NA
"f23173",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,6,5,5,6,5,4,5,5,11,5,5,4,4,6,5,6,5,5,6,5,3,5,5,11,"f23019"
"f23373",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,8,7,7,8,8,9,6,7,6,7,7,11,7,7,5,8,10,7,5,7,8,9,6,5,8,5,11,NA
"f23085",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,5,8,10,8,10,6,8,5,6,5,7,5,11,5,7,8,10,10,7,7,5,8,10,3,6,7,5,11,"f23436"
"f23489",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,5,7,7,7,7,7,8,7,8,3,7,7,11,7,8,6,8,10,8,6,7,9,10,7,1,5,6,11,NA
"f23298",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,6,6,8,8,8,7,5,8,1,8,6,11,4,7,6,5,8,7,7,6,6,3,6,0,7,6,11,"f23525"
"f23105",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,7,7,8,9,9,9,10,8,8,5,8,8,11,10,6,7,7,4,5,10,5,8,3,5,4,6,5,11,NA
"f23211",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,8,8,7,8,8,9,9,10,9,7,7,8,11,10,9,8,8,8,6,5,5,7,7,6,7,4,5,11,"f23135"
"f23182",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,6,6,7,7,8,8,8,7,7,8,6,6,11,7,7,6,7,8,7,7,8,9,7,5,8,8,5,11,NA
"f23299",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,6,7,7,6,8,7,6,2,8,3,8,7,11,7,6,5,3,7,5,7,6,6,1,5,2,6,6,11,"f23069"
"f23509",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,5,8,8,8,9,8,8,7,8,2,8,9,11,9,8,7,3,8,6,7,8,8,5,7,2,5,8,11,NA
"f23064",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,8,6,6,6,6,8,6,7,5,5,6,11,7,6,5,7,6,6,6,5,7,7,5,4,5,5,11,"f23054"
"f23191",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,5,7,7,7,5,6,5,5,5,11,5,6,6,5,5,7,7,7,5,5,5,4,7,5,11,NA
"f23511",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,5,10,6,5,6,7,10,5,5,5,7,5,11,10,5,4,6,5,5,5,6,10,5,5,0,5,10,11,"f23210"
"f23435",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,7,5,6,8,7,8,6,6,2,5,5,11,5,6,6,6,7,5,7,6,6,5,5,2,5,5,11,"f23236"
"f23141",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,6,7,5,7,6,7,7,6,7,6,5,11,7,5,6,5,7,5,5,5,6,6,6,7,6,5,11,"f23195"
"f23123",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,5,7,9,7,8,6,7,8,9,4,8,6,11,7,4,4,6,7,6,6,5,6,5,6,3,7,6,11,NA
"f23192",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,7,6,7,7,8,9,4,7,2,8,7,11,5,4,6,7,7,6,7,5,8,7,7,3,7,5,11,"f23410"
"f23126",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,7,5,6,5,8,9,5,5,2,5,5,11,4,6,6,5,7,5,3,8,9,6,5,0,5,5,11,NA
"f23345",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,6,5,7,8,9,8,7,5,0,5,5,11,5,7,8,4,7,7,5,6,8,7,7,0,5,4,11,NA
"f23409",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,5,8,10,8,9,8,9,8,8,5,8,9,11,8,7,7,8,8,7,8,7,8,6,6,5,5,8,11,NA
"f23383",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,6,7,7,6,7,7,6,7,4,6,5,11,6,7,5,5,5,9,7,9,6,6,6,5,7,5,11,NA
"f23386",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,3,6,7,5,6,8,7,5,5,5,5,6,11,6,5,3,7,9,6,6,7,5,5,7,0,7,5,11,"f23188"
"f23167",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,4,6,5,6,6,7,7,7,7,3,7,6,11,6,7,5,7,8,6,5,6,7,7,7,4,6,5,11,NA
"f23416",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,7,10,6,6,7,10,10,6,5,6,7,11,7,7,4,8,8,7,5,7,8,8,6,6,6,5,11,NA
"f23411",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,9,9,7,9,7,9,8,7,6,8,7,11,7,8,9,8,9,6,8,7,9,8,5,5,7,7,11,"f23095"
"f23058",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,5,7,6,8,5,7,7,8,7,5,7,5,11,3,8,6,7,6,7,5,7,6,9,7,5,6,5,11,NA
"f23201",0,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,5,8,6,7,7,7,7,7,6,5,7,7,11,5,5,8,4,6,6,7,6,3,4,7,5,6,7,11,NA
"f23134",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,4,6,5,7,8,8,6,5,5,3,8,5,11,5,5,5,5,7,7,5,5,6,5,5,3,5,5,11,NA
"f23437",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,5,5,6,7,5,6,6,5,5,5,7,7,11,3,7,5,5,6,6,5,5,5,4,5,5,7,7,11,"f23197"
"f23119",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,5,8,9,9,5,8,8,6,6,2,7,5,11,8,10,5,9,10,10,3,9,9,5,8,0,9,3,11,"f23010"
"f23208",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,6,7,8,8,9,7,9,7,9,5,8,8,11,7,7,7,7,9,8,8,7,8,9,7,3,5,7,11,NA
"f23364",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,7,8,8,7,9,8,6,6,4,8,7,11,7,9,7,8,8,8,8,8,8,7,8,3,8,8,11,NA
"f23355",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,7,7,8,8,8,8,8,7,6,8,7,11,7,7,4,7,7,7,8,7,8,5,8,6,7,7,11,"f23007"
"f23327",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,5,8,8,7,6,7,8,8,8,5,7,7,11,7,7,6,6,10,3,3,5,9,5,4,5,1,9,11,"f23142"
"f23295",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,5,8,9,6,7,8,9,5,7,5,8,6,11,5,6,7,5,5,6,7,7,6,5,8,6,7,7,11,NA
"f23033",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,6,6,9,6,8,8,8,7,8,4,6,7,11,7,7,5,4,9,6,8,5,6,6,6,3,6,7,11,"f23289"
"f23388",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,5,9,10,8,9,9,10,10,8,1,9,10,11,10,10,5,9,10,8,8,9,10,10,9,1,9,10,11,"f23049"
"f23458",0,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,7,6,8,8,8,7,5,5,1,6,7,11,6,7,10,8,4,8,8,7,7,5,5,1,5,8,11,"f23486"
"f23505",0,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,6,7,10,7,9,7,9,0,9,0,10,10,11,10,10,5,5,9,8,10,7,6,0,6,0,7,10,11,"f23425"
"f23090",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,8,9,10,9,9,8,10,10,9,1,8,8,11,9,8,8,8,10,8,10,8,9,10,7,1,6,8,11,NA
"f23316",0,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,8,7,10,8,8,8,7,8,6,9,8,7,11,9,7,6,5,7,7,7,6,6,8,5,9,5,7,11,NA
"f23016",0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,7,6,5,6,6,5,7,5,5,6,11,4,3,6,5,7,6,6,7,9,5,5,5,6,6,11,NA
"f23200",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,5,8,5,6,9,8,8,7,9,1,8,7,11,7,5,5,5,6,6,8,5,5,6,6,0,5,7,11,NA
"f23086",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,6,8,8,7,5,7,6,5,6,4,7,5,11,9,6,7,6,7,5,5,6,8,5,4,4,6,2,11,NA
"f23158",0,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,7,10,9,9,6,7,10,10,7,9,8,11,8,7,6,8,10,9,7,6,9,10,8,7,6,7,11,"f23337"
"f23195",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,5,5,5,5,6,5,6,6,5,5,11,5,6,4,5,4,5,5,6,5,5,5,6,6,5,11,"f23141"
"f23049",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,5,8,10,8,7,8,10,10,8,5,6,7,11,9,8,5,9,10,10,10,8,9,10,8,5,9,8,11,"f23388"
"f23278",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,5,5,7,7,7,7,6,8,5,5,5,11,6,8,2,6,7,8,6,9,6,6,7,5,9,5,11,"f23362"
