"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","idealAffectionate","idealAmbitious","idealArtistic","idealDisposition","idealFamily","idealHealth","idealHumor","idealIntelligence","idealKind","idealParenting","idealPhysatt","idealReligious","idealResources","idealSexiness","idealStatus","selfAffectionate","selfAmbitious","selfArtistic","selfDisposition","selfFamily","selfHealth","selfHumor","selfIntelligence","selfKind","selfParenting","selfPhysatt","selfReligious","selfResources","selfSexiness","selfStatus","mPIN"
"f23135",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,6,8,7,8,6,6,7,5,4,5,5,5,11,7,9,6,7,8,9,7,7,7,7,10,8,7,7,11,"f23211"
"f23525",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,5,5,7,6,6,6,7,6,6,0,6,5,11,7,6,4,5,7,6,6,8,6,5,6,0,7,5,11,"f23298"
"f23009",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,5,10,7,10,10,2,5,10,7,5,7,11,2,9,1,3,2,7,10,8,5,7,7,8,9,7,11,"f23448"
"f23188",1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,5,6,5,6,6,7,4,6,10,0,10,7,11,4,3,2,6,8,5,6,7,5,5,4,0,2,5,11,"f23386"
"f23168",1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,9,5,8,5,6,5,7,5,5,8,4,7,5,11,6,6,5,8,7,6,8,8,6,6,8,3,10,5,11,"f23006"
"f23359",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,6,7,5,5,6,6,7,5,5,5,11,4,7,6,6,5,9,7,7,5,6,6,6,7,5,11,"f23029"
"f23224",1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,6,6,6,5,6,6,5,6,4,5,5,11,6,5,5,6,7,6,6,7,5,5,5,2,7,5,11,"f23025"
"f23436",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,8,8,8,8,7,5,6,7,5,7,6,11,6,7,6,9,8,7,9,7,4,5,5,5,7,6,11,"f23085"
"f23452",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,7,6,8,9,6,8,8,10,2,5,8,11,7,9,1,5,10,8,8,7,5,4,7,2,10,8,11,"f23066"
"f23007",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,7,7,10,7,7,7,7,7,8,10,7,11,7,7,3,7,8,8,7,7,7,7,5,5,7,7,11,"f23355"
"f23095",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,8,8,7,6,9,9,7,8,7,8,7,11,7,7,6,8,9,6,7,7,8,7,7,6,8,7,11,"f23411"
"f23142",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,7,8,8,5,6,7,6,6,5,5,6,11,7,6,4,6,8,5,7,7,6,7,6,7,7,7,11,"f23327"
"f23337",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,3,8,10,9,5,8,9,8,8,8,6,7,11,8,9,3,8,10,9,8,8,9,9,8,8,9,7,11,"f23158"
"f23486",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,6,6,7,7,7,8,7,6,7,2,7,7,11,6,7,7,7,9,7,8,6,6,6,5,0,6,6,11,"f23458"
"f23246",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,6,7,5,7,6,7,9,7,8,5,5,7,11,9,5,6,7,10,7,5,8,9,7,7,4,7,9,11,"f23314"
"f23054",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,7,6,6,6,7,8,5,6,5,6,6,11,6,5,5,7,7,6,5,6,7,7,5,4,6,6,11,"f23064"
"f23236",1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,5,5,6,5,5,3,5,3,5,5,11,5,6,6,6,7,5,5,4,8,8,3,1,5,4,11,"f23435"
"f23260",1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,5,5,6,7,6,6,5,7,5,5,7,11,6,6,3,6,6,7,6,6,6,7,7,2,6,6,11,"f23071"
"f23210",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,4,6,6,5,7,6,10,6,6,3,5,7,11,7,7,0,7,7,5,6,6,8,6,5,2,6,7,11,"f23511"
"f23197",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,6,5,6,6,6,6,6,7,5,5,5,11,4,8,4,5,5,7,6,6,5,6,5,5,7,5,11,"f23437"
"f23495",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,6,8,6,7,6,7,8,5,6,4,6,5,11,6,4,5,7,8,7,6,7,7,6,6,4,6,3,11,"f23493"
"f23410",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,8,6,7,9,7,6,5,8,5,7,6,11,5,7,6,7,6,7,7,6,7,5,7,3,6,6,11,"f23192"
"f23289",1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,5,6,6,7,9,7,7,5,7,3,6,7,11,7,6,5,6,10,6,8,8,8,7,7,0,6,7,11,"f23033"
"f23353",1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,5,7,9,8,9,7,8,9,8,5,7,9,11,8,9,8,8,7,7,9,8,8,8,6,5,9,9,11,"f23420"
"f23019",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,6,6,5,6,5,6,4,5,5,11,6,6,4,5,5,6,5,5,6,7,6,4,6,5,11,"f23173"
"f23092",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,7,7,6,5,7,7,6,7,5,7,6,11,7,7,7,7,7,7,7,7,7,7,5,3,7,6,11,"f23277"
"f23079",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,4,5,5,6,10,6,7,8,7,4,5,6,11,6,4,0,5,9,5,9,6,7,8,5,2,7,6,11,"f23042"
"f23130",1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,6,7,7,6,7,6,7,8,10,7,3,10,7,11,10,7,6,8,10,6,7,8,10,10,6,0,6,8,11,"f23239"
"f23377",1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,5,8,9,5,6,8,6,8,4,5,6,11,6,8,2,6,7,9,5,7,6,5,7,4,8,6,11,"f23127"
"f23010",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,7,9,8,8,8,8,9,6,8,5,7,7,11,9,9,9,9,9,8,8,8,9,5,7,1,5,6,11,"f23119"
"f23425",1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,9,6,6,4,9,9,2,8,1,5,9,11,8,7,5,4,5,5,8,8,5,2,7,0,9,8,11,"f23505"
"f23069",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,4,6,3,6,8,9,4,3,9,1,5,8,11,7,10,8,4,7,3,7,10,3,2,9,1,2,8,11,"f23299"
"f23451",1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,6,6,5,5,6,7,7,6,7,3,7,7,11,6,8,5,5,5,5,6,8,8,7,6,0,8,7,11,"f23376"
"f23281",1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,3,6,6,5,7,7,6,5,5,4,4,7,11,7,4,2,5,6,6,7,7,5,4,5,0,5,7,11,"f23284"
